Micron Throughput
0.35000 0.0000000000
0.36000 0.0000000000
0.37000 0.0300000000
0.38000 0.1340000000
0.39000 0.5670000000
0.40000 0.9200000000
0.41000 0.9780000000
0.42000 1.0000000000
0.43000 0.9780000000
0.44000 0.9350000000
0.45000 0.8530000000
0.46000 0.7400000000
0.47000 0.6400000000
0.48000 0.5360000000
0.49000 0.4240000000
0.50000 0.3250000000
0.51000 0.2350000000
0.52000 0.1500000000
0.53000 0.0950000000
0.54000 0.0430000000
0.55000 0.0090000000
0.56000 0.0000000000
